,model,animal,accuracy
461,top_model_weights_with_3d,bear,0.625
462,top_model_weights_with_3d,bear,0.61
463,top_model_weights_with_3d,bear,0.64
464,top_model_weights_with_3d,bear,0.665
465,top_model_weights_with_3d,bear,0.675
466,top_model_weights_with_3d,bear,0.675
467,top_model_weights_with_3d,bear,0.685
468,top_model_weights_with_3d,bear,0.61
469,top_model_weights_with_3d,bear,0.605
470,top_model_weights_with_3d,bear,0.64
471,top_model_weights_with_3d,bear,0.605
472,top_model_weights_with_3d,bear,0.655
473,top_model_weights_with_3d,bear,0.6
474,top_model_weights_with_3d,bear,0.62
475,top_model_weights_with_3d,bear,0.61
476,top_model_weights_with_3d,bear,0.635
477,top_model_weights_with_3d,bear,0.68
478,top_model_weights_with_3d,bear,0.625
479,top_model_weights_with_3d,bear,0.68
480,top_model_weights_with_3d,bear,0.605
481,top_model_weights_with_3d,bear,0.62
482,top_model_weights_with_3d,bear,0.63
483,top_model_weights_with_3d,bear,0.595
484,top_model_weights_with_3d,bear,0.675
485,top_model_weights_with_3d,bear,0.635
486,top_model_weights_with_3d,bear,0.56
487,top_model_weights_with_3d,bear,0.705
488,top_model_weights_with_3d,bear,0.745
489,top_model_weights_with_3d,bear,0.645
490,top_model_weights_with_3d,bear,0.66
491,top_model_weights_with_3d,bear,0.605
492,top_model_weights_with_3d,bear,0.665
493,top_model_weights_with_3d,bear,0.7
494,top_model_weights_with_3d,bear,0.695
495,top_model_weights_with_3d,bear,0.67
496,top_model_weights_with_3d,bear,0.655
497,top_model_weights_with_3d,bear,0.66
498,top_model_weights_with_3d,bear,0.665
499,top_model_weights_with_3d,bear,0.595
500,top_model_weights_with_3d_2,bear,0.625
501,top_model_weights_with_3d_2,bear,0.655
502,top_model_weights_with_3d_2,bear,0.63
503,top_model_weights_with_3d_2,bear,0.695
504,top_model_weights_with_3d_2,bear,0.65
505,top_model_weights_with_3d_2,bear,0.64
506,top_model_weights_with_3d_2,bear,0.655
507,top_model_weights_with_3d_2,bear,0.62
508,top_model_weights_with_3d_2,bear,0.575
509,top_model_weights_with_3d_2,bear,0.655
510,top_model_weights_with_3d_2,bear,0.655
511,top_model_weights_with_3d_2,bear,0.655
